brand,# of data,mean,sd,median,min,max,q1,q3
CK언더웨어,182,104799.89,156240.18,77520.0,30540.0,2128200.0,61860.0,116670.0
게스언더웨어,30,55485.67,26317.19,50120.0,8700.0,111270.0,45420.0,69377.5
듀퐁언더웨어,62,13050.00,0.00,13050.0,13050.0,13050.0,13050.0,13050.0
라페어,25,65892.80,25899.60,61860.0,26100.0,104140.0,43070.0,89270.0
리바이스언더웨어,14,38172.14,15304.09,29240.0,20700.0,58470.0,23940.0,52380.0
바바라,286,118135.14,54538.09,102660.0,26100.0,327120.0,84140.0,145795.0
보디가드,33,29319.39,11971.43,23490.0,13050.0,48550.0,22710.0,46200.0
비너스 란제리,954,76280.06,39146.32,76740.0,15660.0,266220.0,42590.0,93180.0
비비안 란제리,586,73451.26,42131.32,64990.0,5660.0,297540.0,43850.0,90050.0
섹시쿠키,12,59185.83,14548.10,56380.0,46200.0,106490.0,55597.5,56380.0
엘르언더웨어,65,46530.92,25233.91,43300.0,15900.0,123720.0,27410.0,61860.0
엠포리오아르마니...,58,129667.93,56620.99,105795.0,56900.0,232470.0,82830.0,174005.0
예스,24,25842.08,10679.32,21765.0,11910.0,42290.0,16530.0,38370.0
오르시떼,7,37155.71,1666.33,36290.0,35430.0,39750.0,36290.0,38020.0
와코루,270,125870.22,82231.69,124650.0,33930.0,661200.0,68730.0,154860.0
코데즈컴바인이너웨어,19,37522.63,20343.48,33520.0,10800.0,69540.0,28040.0,51530.0
트라이엄프,164,60307.32,36144.72,53720.0,15230.0,231770.0,30540.0,76740.0
휠라언더웨어,6,19855.00,8284.95,16215.0,15900.0,38370.0,15900.0,16530.0
휠라인티모,6,37455.00,15579.02,30930.0,23490.0,61860.0,23490.0,50115.0
